,Assessor,Model,MSE,MAE,NMSE,NMAE,aRRMSE,aCC
0,RC,dtree,0.18214669497989594,0.9118354087777475,0.350942880794702,0.8774216981348466,0.9549007324207829,0.3139398459318757
1,RC,sgd,0.03294713756813523,0.5668611055317966,0.11546011547837093,0.5583529718727603,0.7529017900973517,0.6652280832948091
2,RC,lr,0.040726036642994984,0.5990809312690857,0.13528949740276588,0.6035872645658573,0.7740031855677894,0.6384287093087738
3,RC,knn,0.11266176890604389,0.8124144458195807,0.26614398730873323,0.8075780159351288,0.9013403606959919,0.4393326073539961
4,RC,svm_linear,0.03857099135693542,0.5760971206721689,0.1347760036290449,0.6064750489710389,0.7590106196043432,0.6548066415219719
5,RC,svm_poly,0.06834661235852046,0.7872778219385975,0.20282692956550843,0.8088348968027331,0.887286775478254,0.4655217849266767
6,RC,svm_rbf,0.06225304570981436,0.7336324981454366,0.18843910145772877,0.7551411241134345,0.856523495384357,0.5207749596189234
7,RC,mlp,0.13398687537926451,0.8665289734872035,0.284823508415619,0.8278563039561949,0.9308753802132719,0.3814261850334326
8,RC,kan,0.036636070028353424,0.5834369335979853,0.12470128101416848,0.5915417106917651,0.7638304351084639,0.6493300590064809
9,RC,rforest,0.05160477533274603,0.6749086164731388,0.1648230705646801,0.710170275373991,0.8215282201319312,0.5725340100394528
10,RC,gb,0.13882307918951994,0.8771743553432307,0.2812712585997663,0.8344323163426082,0.9365758673717953,0.36826650706294656
11,RC,adab,0.007171164195830335,0.46663246954993265,0.054298474974543244,0.5258348422033539,0.6831050208788783,0.7329533400832351
12,RC,xgb,0.08927364229978427,0.77762042687761,0.2179741267007031,0.7619049468096581,0.8818278896006919,0.47574109032695233
13,RC(g),dtree,0.18172311570022592,0.9097149498494628,0.33781523967202665,0.8446001827353055,0.9537897828397317,0.33597151534719666
14,RC(g),sgd,0.03195111977448838,0.5497244499887048,0.1185516252974576,0.5733031881263048,0.7414340496556014,0.6724854582589187
15,RC(g),lr,0.041544685442171,0.6111232738444721,0.13628307542524098,0.6080200627669853,0.7817437392422608,0.6296275038427861
16,RC(g),knn,0.11683518196130896,0.842509313736105,0.26328339806662576,0.7988979438887642,0.917883061035612,0.4229812993396446
17,RC(g),svm_linear,0.03840691785059989,0.5736465154050194,0.13534069820886105,0.609016103489099,0.7573945572850517,0.6552575141762902
18,RC(g),svm_poly,0.06984379383452646,0.8045237062743684,0.20038329862681842,0.7990901652606578,0.8969524548572061,0.4564005555850738
19,RC(g),svm_rbf,0.0634840745358023,0.7481397843769952,0.1854367717856533,0.7431097432270277,0.8649507410118772,0.5182892413799411
20,RC(g),mlp,0.13628926471764674,0.8814191413809537,0.28232055067399,0.8205813098503014,0.9388392521518014,0.38348034269576375
21,RC(g),kan,0.03706788575530963,0.5903136876663047,0.12617379176057947,0.5985268155668705,0.7683187409313303,0.644651731296009
22,RC(g),rforest,0.052382421509929736,0.6850789951283025,0.1629417907709209,0.7020644380988311,0.827694989188833,0.5679774424366527
23,RC(g),gb,0.13769174313617838,0.8700258395556529,0.27021979871826896,0.8016465446509217,0.9327517566617889,0.39107217187803844
24,RC(g),adab,0.007278563629726269,0.47362102283062085,0.05176160937985396,0.5012674428371661,0.6882012952840331,0.731552435584888
25,RC(g),xgb,0.09169538249562448,0.7987150590261684,0.2214059537164288,0.7739005263743222,0.8937085984962707,0.45997896207408473
26,RC[30],dtree,0.1739277521300018,0.8706909723437989,0.3477735125617574,0.8694976950872064,0.9331082318486954,0.35997402010294616
27,RC[30],sgd,0.030227450776983442,0.5200684317238127,0.11674813057052288,0.5645816773572506,0.7211577023951229,0.6928472473730443
28,RC[30],lr,0.0378353099408969,0.556558275310242,0.13419759743981055,0.5987158079896109,0.7460283341202545,0.6661422303015341
29,RC[30],knn,0.10746660633029216,0.774951647517152,0.2617770388857362,0.7943271002229358,0.880313380289742,0.474744206640879
30,RC[30],svm_linear,0.03559896672417346,0.5317068995949744,0.1321924700309357,0.594849473028424,0.7291823500297949,0.6845511761581937
31,RC[30],svm_poly,0.06543927661903914,0.7537885110622004,0.19963382783792927,0.7961014194886521,0.8682099464197588,0.49712001030078273
32,RC[30],svm_rbf,0.05948311467691884,0.7009897350455206,0.18723788736757824,0.7503274407997267,0.837251297428389,0.5470892930932447
33,RC[30],mlp,0.12734906698168968,0.8236004905244207,0.28224280535290863,0.8203553384952039,0.9075243746172446,0.4218888772106193
34,RC[30],kan,0.0344610435688949,0.5487991908756118,0.12335799098568258,0.5851695862440983,0.7408098209902537,0.6720631327786389
35,RC[30],rforest,0.048753789353984764,0.6376222415184337,0.1593285724126539,0.6864962274855609,0.7985125180724681,0.602364656282669
36,RC[30],gb,0.13057187814638044,0.8250379094577278,0.27612277003139807,0.819158572188464,0.9083159744591789,0.41922485536809245
37,RC[30],adab,0.006569207520133922,0.42746274445765126,0.0530073494683239,0.5133313828125354,0.65380635088507,0.7568043230790983
38,RC[30],xgb,0.0858519379503021,0.7478155804711166,0.2188370282269025,0.7649211256166212,0.8647633089297422,0.5025033149503828
39,RC[30](g),dtree,0.1817231157002259,0.9097149498494626,0.33781523967202665,0.8446001827353055,0.9537897828397316,0.3359715153471966
40,RC[30](g),sgd,0.030712309891022107,0.5284105152460226,0.11498321836654153,0.5560467476102585,0.726918506605811,0.6874003650973157
41,RC[30](g),lr,0.038263531855706155,0.5628574294794186,0.1325191706858707,0.5912275917375488,0.7502382484780542,0.6619382777691466
42,RC[30](g),knn,0.11683518196130901,0.8425093137361054,0.2632833980666256,0.7988979438887638,0.9178830610356122,0.42298129933964446
43,RC[30](g),svm_linear,0.03582847481254247,0.5351348371259755,0.12977581801463184,0.5839748431947048,0.7315291088712571,0.6824744412359244
44,RC[30](g),svm_poly,0.068562416415625,0.7897636473830474,0.19863107815093717,0.7921026460450337,0.888686473050562,0.4687882287380309
45,RC[30](g),svm_rbf,0.06150514049620369,0.7248186712237011,0.18657849626813777,0.747685030959041,0.8513628317137771,0.5296231519984337
46,RC[30](g),mlp,0.13628926471764669,0.8814191413809533,0.28232055067399003,0.8205813098503015,0.9388392521518012,0.3834803426957639
47,RC[30](g),kan,0.03490929571262081,0.5559376982540443,0.1216026018025982,0.5768425994493631,0.7456122975474884,0.6680815605917874
48,RC[30](g),rforest,0.04983410414018083,0.6517510455487925,0.15954577661443012,0.6874320914229293,0.807310996796645,0.5919164095729653
49,RC[30](g),gb,0.13361932425777623,0.8442936527665007,0.2733791181427394,0.811019127681804,0.9188545329738004,0.40359283290284076
50,RC[30](g),adab,0.006695467042822061,0.43567853638030996,0.051943063804811215,0.5030246755947939,0.6600594945762919,0.7520248737710188
51,RC[30](g),xgb,0.08773026176189322,0.7641767698049072,0.21699971032769985,0.7584989799360627,0.8741720481718157,0.4892508309976175
