,MSE,MSE,MAE,MAE,NMSE,NMSE,NMAE,NMAE,aRRMSE,aRRMSE,aCC,aCC
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Assessor,,,,,,,,,,,,
RC,0.03722182387650091,0.003132361641348303,0.581532137574321,0.012380112615103375,0.12600283449953723,0.006595652173136754,0.5831693715112727,0.009820587665565646,0.7625500318148193,0.00813113797195347,0.6523186087687646,0.009342725228418431
RC(g),0.036990407514170494,0.003665617956716717,0.5774843002657206,0.02202414987606231,0.1250910446437902,0.007551568308368244,0.5788030196198481,0.013165641462849903,0.7598188684313345,0.014587092076993508,0.6556705651790089,0.014485360442535981
RC[10],0.03539403063834083,0.00325846756244796,0.5527834474022193,0.016577045831286913,0.12461917272899087,0.007208841325193293,0.5766579814202282,0.011526675575676012,0.74343144057375,0.011143941173465066,0.6703216889486172,0.011928135666265556
RC[10](g),0.035543221626503425,0.003117662460139011,0.5553267300576419,0.019072809340265066,0.12438283785684831,0.00749837121236399,0.5755361757940904,0.013911373706735912,0.7451200624847673,0.012797006959364114,0.6691146550579529,0.013322654398543118
RC[30],0.035217661240360326,0.003267428101541495,0.5500010779266755,0.0167358076058481,0.1245507640357496,0.007699295606851208,0.5762746697881489,0.013785602304940432,0.7415561288492432,0.011289268816024838,0.6721808882080357,0.012154004535024202
RC[30](g),0.03551467263383916,0.0030562325466154195,0.5549076968086256,0.017916598364832677,0.12435451396276595,0.007500765194426307,0.5754073556104456,0.014087572239730228,0.7448485054862499,0.01202223958755543,0.6694138861856556,0.012619051201375778
RC[50],0.03517027837480556,0.0032212505513859015,0.5493021922675825,0.016491313761353137,0.12446548768662692,0.007646176505861008,0.5758871613444168,0.013646251258920638,0.7410865453190103,0.011131014611848913,0.6726363723495434,0.011952144214980703
RC[50](g),0.03554710598489384,0.0030738337319358533,0.5553869069382843,0.01751176578050911,0.1243752137876512,0.007511000828450231,0.5755004004025361,0.014014813288357577,0.7451733910407843,0.011748714713402258,0.6691098287627351,0.012365929540672834
RC[80],0.03516632418469402,0.003193120341040174,0.549278499217231,0.016728730027405388,0.12446258000688355,0.007685282863913656,0.5758691898539348,0.013901082821468444,0.7410687886656916,0.011287142112190651,0.6726733182537833,0.012120116191799426
RC[80](g),0.0355654526576233,0.0030660103350698595,0.5556790200692794,0.01730143015710015,0.12442997411078388,0.007562984418444511,0.5757462501173984,0.014174244197672882,0.7453710624482469,0.011604558532517465,0.6689120071561636,0.012252996961530363
ST,0.037378029798265856,0.0032315637313377536,0.5839206113542461,0.014482285189549287,0.12438846384484903,0.007223990606844418,0.5755890266953767,0.011992437099576694,0.7641027994660192,0.009488463341599765,0.6527829660702846,0.01081766648331219
