,Assessor,MSE,MAE,NMSE,NMAE,aRRMSE,aCC
0,ST,0.0005689215504905611,0.017482247573180634,0.1453932219125798,0.32489641682161713,0.3547960460844655,0.9824396783057082
1,RC,0.014610999479710481,0.10120570587227556,3.466773537850906,1.8371876356403207,1.841708811624264,0.9405566900991765
2,RC(g),0.01277788596966186,0.08883513038334206,3.098307304337114,1.636242837902631,1.7387414960392107,0.8634391795303162
3,RC[10],0.0017380362327494285,0.032511614711891915,0.4159743067199733,0.5939569016382947,0.625252056013134,0.9625952923814853
4,RC[10](g),0.0007139428827917186,0.019237842601206395,0.17305014373252525,0.3536976620389837,0.401032280754924,0.9693177399456697
5,RC[30],0.000518261579872617,0.012202676388540237,0.12020233810321221,0.22194070212570205,0.2918086076693277,0.9668934347362308
6,RC[30](g),0.0005409252352197618,0.016208162366225715,0.13221193130864503,0.3000767790432736,0.3523659416977895,0.9756117455248202
7,RC[50],0.00027522137277075087,0.008595664279899232,0.06364345328682662,0.15530273399944597,0.21001523000497985,0.9771906903461167
8,RC[50](g),0.0007237258385508042,0.018632563670403404,0.17607625108955716,0.3452013923410242,0.4026564316156025,0.9688221685626853
9,RC[80],0.00018669849450485694,0.0087638810979066,0.043021877549953666,0.15757186801266765,0.19031847768038468,0.9828853272448865
10,RC[80](g),0.0007295289492240465,0.019056235788890735,0.1790663833523802,0.3533392426470088,0.40510644527524853,0.9682290406616281
