,MSE,MSE,MAE,MAE,NMSE,NMSE,NMAE,NMAE,aRRMSE,aRRMSE,aCC,aCC
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Assessor,,,,,,,,,,,,
RC,0.027401115448782813,0.012669200562304929,0.7796137750341701,0.021833006689514198,0.13120346338754896,0.03704748325596137,0.8528416225497446,0.009594543809475267,0.8828922236445853,0.012387976003089971,0.47244794943681384,0.02716717317157641
RC(g),0.027878042576485212,0.013136038483841296,0.7881162845554375,0.040740738866338465,0.13278457013494077,0.03830243393585568,0.8615390346149028,0.024567578986053547,0.8875336080210765,0.023104954404558963,0.46259122218174864,0.043512131702034614
RC[10],0.027253440323484857,0.01279618706299625,0.7722628988961188,0.02633878625097433,0.13000242836267506,0.03692558325504096,0.8447053043028923,0.010561030365641868,0.8786874509319167,0.015111252800012636,0.48061632587681,0.032485876345550786
RC[10](g),0.027310079964788125,0.012869212065607262,0.7733601868644292,0.028304047278932088,0.1301584187787709,0.036986341974163645,0.8455665000247861,0.013873455745881275,0.8792968548491451,0.016216366910443987,0.47954152555731494,0.03428519597950748
RC[30],0.02712755389659343,0.012719392036830821,0.7688687968923351,0.026456755010744532,0.1300829238287376,0.0369340982532326,0.8451823909528352,0.012087061366004431,0.876752740120714,0.01520655924943176,0.4850646087531113,0.032581635155283194
RC[30](g),0.02713721562663147,0.012667385810068705,0.7698238779643036,0.026127108850592565,0.13004601536191807,0.03682887234791712,0.8449988472463833,0.013895551321628384,0.8773000642665847,0.014987781786063099,0.4833055257723763,0.03144912662541018
RC[50],0.02714664772097778,0.012717457518647517,0.769541488962358,0.026371240570430957,0.13003248889020322,0.036866425207851564,0.8449293699551477,0.012051477154075244,0.8771370490384977,0.015147548377825462,0.4842284989764039,0.03263415760330056
RC[50](g),0.027158112405769014,0.012678928950580093,0.7703812956233347,0.026402785113201058,0.1301331821225089,0.036866816174647356,0.8455263384467637,0.014490047264107228,0.8776157440869788,0.015139412317673255,0.48266533596112976,0.031769099879216806
RC[80],0.027164446848124815,0.0127150296431811,0.7699589529391805,0.027672475122359576,0.13003294091053275,0.03684000947746382,0.8449291251335062,0.012940532447147272,0.8773651405674259,0.01588974748200231,0.483800973535009,0.03430794115270994
RC[80](g),0.027135480843091146,0.01267022585979204,0.7697424972152153,0.026207430417491434,0.13001150618770763,0.03680472221467981,0.8447982937251377,0.013887191989635311,0.8772530843582549,0.01503432513256243,0.4834200082576624,0.03160388467640293
ST,0.027247636525702196,0.012537748188578684,0.7761818127331463,0.017863933391187258,0.13036590167206785,0.036605436122043096,0.8476165430434043,0.011950554531114915,0.8809678904109736,0.010158004921253145,0.47622478229432197,0.0220779499891679
