,Assessor,MSE,MAE,NMSE,NMAE,aRRMSE,aCC
0,ST,0.007976197609712812,0.07635805659602928,1.9438843642560821,1.433795300696918,1.380917080176366,0.9870656800208848
1,RC,0.00851353925486526,0.07908076344244745,2.123858774484335,1.4900219813477156,1.4346511299058304,0.9861982111992245
2,RC(g),0.014322548443299369,0.1016157885547922,3.6466301568348127,1.9290083049339244,1.8707321398189305,0.9583484527808243
3,RC[10],0.0013730205985876044,0.030243861512762024,0.34513487177117697,0.5755203350615403,0.5755841099618129,0.9838729683933827
4,RC[10](g),0.006398003244396695,0.0682163701038273,1.5142161214657246,1.2732024938467343,1.2254685888668448,0.9955199349973369
5,RC[30],0.0007945889920712493,0.02342387737319024,0.1908112571861493,0.43851369382689964,0.43443126998866033,0.9940522249456842
6,RC[30](g),0.0030735195505699454,0.0470030473441128,0.7299324552781516,0.8753084118421517,0.850373677150286,0.996662130003376
7,RC[50],0.0006173315703347956,0.02000066827987808,0.14817276894017928,0.37559020494069206,0.3798693659419433,0.9919597218419541
8,RC[50](g),0.0029022294306968893,0.045906034391429734,0.6901971852333251,0.855639420901819,0.8273882512334297,0.9976601218013538
9,RC[80],0.0005956659262535552,0.019762761856404645,0.14445051911499568,0.3708740506456167,0.3756696946873571,0.99256785074031
10,RC[80](g),0.002974853724935792,0.046130723791376865,0.7054405489601674,0.8586444424978569,0.8357299394770082,0.9964879523584875
