,MSE,MSE,MAE,MAE,NMSE,NMSE,NMAE,NMAE,aRRMSE,aRRMSE,aCC,aCC
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Assessor,,,,,,,,,,,,
RC,0.06131652023262251,0.01893649129944943,1.1095844609700687,0.008685075456289056,0.19841800665496934,0.03276028955208713,1.0334045017592433,0.02504607520446809,1.0533620809359756,0.004129151050760615,0.09985818118627719,0.02794885916087589
RC(g),0.06714654805867049,0.023312676944473303,1.2046780501493026,0.05705076370883625,0.20439049379962612,0.034581665995548384,1.063907418663367,0.028247535913782835,1.0973464120419991,0.026048726849337654,0.06583508023928443,0.05965063687619182
RC[10],0.062293980536808916,0.020801048922286805,1.120533996211155,0.02530547664602533,0.1982312811222383,0.03573708869182041,1.0303671222115158,0.024060501763148005,1.0585024858157535,0.011915465190272838,0.09058357577312859,0.028316933023442296
RC[10](g),0.06416748869489056,0.02218800700264993,1.1517120167741943,0.04540992975469993,0.1998290506746913,0.036041501521735866,1.0386628789647718,0.024468799229543314,1.0730237661693627,0.02104008903375698,0.0877768127283024,0.04125866705331764
RC[30],0.06257535579088976,0.021121491317182554,1.1247910994384342,0.029936473589182017,0.19856297860381933,0.035936214680086086,1.0319970015045472,0.024415374029481806,1.060491922058925,0.014046716636571206,0.08790941827209243,0.028724506221606317
RC[30](g),0.06352896921684713,0.02181446292123066,1.1407865379237125,0.04021652373505998,0.1987716479517135,0.036401538768295646,1.032808863691216,0.02529838976688617,1.0679532669134189,0.018703212296943474,0.09339869196853248,0.03711155608793078
RC[50],0.062378240316231,0.021044743305059406,1.121422379121658,0.03039431897204183,0.19820115755016543,0.03609467862437785,1.029974460263976,0.025043565258620865,1.0589002163867345,0.014269354471959358,0.09072449556078133,0.029590009456246406
RC[50](g),0.0639615982663794,0.02210321213737867,1.1480298597191656,0.043393070353144055,0.19941498386867434,0.03636328566633151,1.0362396881014526,0.02453938189692279,1.0713199792676755,0.020111745857343065,0.0897267233152392,0.03917994141951304
RC[80],0.06201559313462522,0.02077979731393498,1.115427796115859,0.02728929383272167,0.19774828505823444,0.036065421188522274,1.0276106098789264,0.02615296450096308,1.0560794669849574,0.012855895074616052,0.09380638877814607,0.028642119488646364
RC[80](g),0.06423829617845633,0.022253756786080596,1.152714877701267,0.04457369783963483,0.19972058493708145,0.03638264767877354,1.037835240975684,0.02402903849787154,1.0734969410076038,0.02062992482080327,0.08769885950776085,0.04037830231177362
ST,0.06553110668403385,0.024909863886400967,1.1659412935286266,0.08192129392049051,0.19945250204537346,0.03874728628692253,1.034875563894456,0.03396557308813982,1.0792924725274415,0.03775451009223658,0.08543218935992282,0.05759432159487062
