,Assessor,MSE,MAE,NMSE,NMAE,aRRMSE,aCC
0,ST,0.015063204923030028,0.10223765432098765,1.3953956116033144,1.1346108752938155,1.179993638736566,0.9619227538080979
1,RC,0.02611854138088706,0.13348765432098766,2.4743296158876733,1.4994834120726346,1.5474924315958922,0.9661321919242991
2,RC(g),0.012490616902911134,0.085108024691358,1.1746899463953682,0.946608520841237,1.0481509741369417,0.8837416979333199
3,RC[10],0.00338705989940558,0.041358024691358033,0.31115719678407305,0.4534422085888913,0.5519811759108252,0.9684987212740959
4,RC[10](g),0.0047694234872732826,0.051774691358024705,0.42701385383252566,0.5635688397347375,0.647388688682583,0.9623420798765776
5,RC[30],0.0022158874409388828,0.034182098765432115,0.20442506460870824,0.3770982533753328,0.4482465898079322,0.9610409851550366
6,RC[30](g),0.005988178250266731,0.057638888888888906,0.5297101458444495,0.624791148519064,0.7166528545701988,0.9619415637678909
7,RC[50],0.0017997923334857517,0.03402777777777781,0.1662896017470976,0.3772739122880252,0.4054465162806887,0.9675946618070789
8,RC[50](g),0.005419667352537724,0.05640432098765431,0.48528939754453415,0.6152635337957565,0.6908018641796854,0.9621738567251635
9,RC[80],0.0017739292790733122,0.03086419753086421,0.1639128497990143,0.34134601132621645,0.4007607993048861,0.9688652063094997
10,RC[80](g),0.004951369836915105,0.05516975308641976,0.4455483512577597,0.6041959845736666,0.6628130206961531,0.960332295807586
